h,0.1254864444156181
w,0.09908872746140875
d,0.0797606693475159
r,0.077158191723959
l,0.07004799584900766
q,0.06542677390063562
k,0.06423498508237126
v,0.058948955765987805
u,0.05396290050590219
g,0.044412375145933325
o,0.04226391231028668
x,0.0323566610455312
f,0.024549228174860552
z,0.024087105980023348
j,0.023916850434557012
b,0.02110358023089895
p,0.01950642106628616
i,0.01927941367233104
s,0.016012128680762745
e,0.014204176936048774
n,0.010523414191205085
y,0.007847969905305487
m,0.0019133480347645608
t,0.0018079517447139707
a,0.0014593332468543262
c,0.0006404851472305098
