e,0.12299259127957846
t,0.09262085674859302
a,0.08164123407908337
o,0.07297213459570481
n,0.0688189640158171
i,0.0687086937299491
s,0.06712677888128218
h,0.0657179986870622
r,0.055226863078313544
l,0.044673893664405266
d,0.04002089982614395
u,0.028036477822790496
m,0.024348091345019234
c,0.024030677811866526
w,0.023245388486339367
g,0.021937603507213427
f,0.021901533787536984
p,0.01841925999363112
y,0.017768974476035794
b,0.01772878250268204
v,0.008990635270208576
k,0.008479475814222393
q,0.0016293207659559559
j,0.0012119425811285287
x,0.001096519478163907
z,0.0006544077712726324
