Round,Bit Difference,Hexadecimal
0,1.56,6262636465666768696a6b6c6d6e6f01
1,1.56,696a6b6c6d6e6f01e38d1b956dcdf372
2,3.12,e38d1b956dcdf372cd4827fd06a09c6f
3,7.81,cd4827fd06a09c6f1049bc0b560c9554
4,21.09,1049bc0b560c9554abe9a9632d198323
5,39.84,abe9a9632d19832300c69d7baf643e0c
6,51.56,00c69d7baf643e0c8548b2f1f12818b3
7,47.66,8548b2f1f12818b390ae5e3e92a9ecc3
8,47.66,90ae5e3e92a9ecc3d1d9fc312ef35369
9,53.91,d1d9fc312ef35369ff745639a88a5c7d
10,52.34,ff745639a88a5c7d6db5ceac7835cc10
11,50.78,6db5ceac7835cc1084424f1d26a39c73
12,53.12,84424f1d26a39c73c840d69b740e08c5
13,50.78,c840d69b740e08c5819aa1be9368ab5d
14,46.09,819aa1be9368ab5df16dae817d8dd134
15,50.0,f16dae817d8dd134d1600a015375e75e
16,53.12,d1600a015375e75ee70897482cab77ca
